column_name,data_type,role,definition,measurement_level,denominator_or_unit,analysis_use,source
healthy_life_expectancy_period,object,Identifier and merge key,The three-year reporting period for the Healthy Life Expectancy estimate. In this dataset the value is 2022 to 2024.,Council area × sex × HLE age group,Not applicable,"Metadata, identifier or grouping field; excluded from predictors","National Records of Scotland HLE 2022-2024, Table 2"
council_area_code,object,Readable identifier,"The official Scottish council-area code, such as S12000033 for Aberdeen City.",Council area × sex × HLE age group,Not applicable,"Metadata, identifier or grouping field; excluded from predictors","National Records of Scotland HLE 2022-2024, Table 2"
council_area,object,Demographic grouping variable,The Scottish council-area name.,Council area × sex × HLE age group,Not applicable,"Metadata, identifier or grouping field; excluded from predictors","National Records of Scotland HLE 2022-2024, Table 2"
sex,object,Demographic grouping variable,The sex category for the HLE observation: Female or Male.,Council area × sex × HLE age group,Not applicable,Primary modelling feature or subgroup field,"National Records of Scotland HLE 2022-2024, Table 2"
age_group,object,Descriptive age-group field,"The HLE age group, such as <1, 20 to 24 or 90+.",Council area × sex × HLE age group,Not applicable,Ordered descriptive grouping; primary model uses at-birth rows only,"National Records of Scotland HLE 2022-2024, Table 2"
healthy_life_expectancy_years,float64,Primary target outcome,"The estimated remaining years expected to be lived in good health for the council-area, sex and age-group observation.",Council area × sex × HLE age group,Not applicable,Primary outcome,"National Records of Scotland HLE 2022-2024, Table 2"
healthy_life_expectancy_lower_95_ci,float64,Outcome uncertainty,The lower end of the 95% confidence interval for the HLE estimate.,Council area × sex × HLE age group,Not applicable,Outcome uncertainty; interpretation only; excluded from predictors,"National Records of Scotland HLE 2022-2024, Table 2"
healthy_life_expectancy_upper_95_ci,float64,Outcome uncertainty,The upper end of the 95% confidence interval for the HLE estimate.,Council area × sex × HLE age group,Not applicable,Outcome uncertainty; interpretation only; excluded from predictors,"National Records of Scotland HLE 2022-2024, Table 2"
simd_datazone_count,int64,Core deprivation predictor,The number of SIMD Data Zones inside the council area.,Council area; repeated across sex and HLE age rows,Not applicable,Denominator or audit field; not automatically modelled,Scottish Index of Multiple Deprivation 2020v2
simd_rank_median,int64,Core deprivation predictor,The median SIMD 2020v2 rank across Data Zones in the council area. Lower ranks indicate greater deprivation.,Council area; repeated across sex and HLE age rows,Not applicable,Retained contextual variable; considered descriptively or during feature selection,Scottish Index of Multiple Deprivation 2020v2
simd_most_deprived_15pct_datazones_share_pct,float64,Deprivation/advantage predictor,The percentage of the council area’s Data Zones that fall within Scotland’s most deprived 15%.,Council area; repeated across sex and HLE age rows,All SIMD Data Zones in the council area,Retained contextual variable; considered descriptively or during feature selection,Scottish Index of Multiple Deprivation 2020v2
simd_least_deprived_15pct_datazones_share_pct,float64,Core deprivation predictor,The percentage of the council area’s Data Zones that fall within Scotland’s least deprived 15%.,Council area; repeated across sex and HLE age rows,All SIMD Data Zones in the council area,Retained contextual variable; considered descriptively or during feature selection,Scottish Index of Multiple Deprivation 2020v2
simd_most_deprived_quintile_datazones_share_pct,float64,Deprivation/advantage predictor,The percentage of the council area’s Data Zones in Scotland’s most deprived national quintile.,Council area; repeated across sex and HLE age rows,All SIMD Data Zones in the council area,Primary modelling feature or subgroup field,Scottish Index of Multiple Deprivation 2020v2
simd_least_deprived_quintile_datazones_share_pct,float64,Deprivation/advantage predictor,The percentage of the council area’s Data Zones in Scotland’s least deprived national quintile.,Council area; repeated across sex and HLE age rows,All SIMD Data Zones in the council area,Retained contextual variable; considered descriptively or during feature selection,Scottish Index of Multiple Deprivation 2020v2
economic_population_aged_16plus_count,int64,Core economic predictor,The number of people aged 16+ in the council area and sex group used as the denominator for several economic rates.,Council area × sex; adult population aged 16+; repeated across HLE age rows,Not applicable,Denominator or audit field; not automatically modelled,Scotland's Census 2022 economic activity
economic_employment_rate_pct,float64,Core economic predictor,"The percentage of people aged 16+ who were employees or self-employed, including economically active full-time students who were working.",Council area × sex; adult population aged 16+; repeated across HLE age rows,Council-area-and-sex population aged 16+ unless the name states 'among employed',Primary modelling feature or subgroup field,Scotland's Census 2022 economic activity
economic_unemployment_rate_pct,float64,Core economic predictor,"The percentage of people aged 16+ who were unemployed and available for work, including unemployed full-time students.",Council area × sex; adult population aged 16+; repeated across HLE age rows,Council-area-and-sex population aged 16+ unless the name states 'among employed',Retained contextual variable; considered descriptively or during feature selection,Scotland's Census 2022 economic activity
economic_inactivity_rate_pct,float64,Core economic predictor,The percentage of people aged 16+ who were economically inactive.,Council area × sex; adult population aged 16+; repeated across HLE age rows,Council-area-and-sex population aged 16+ unless the name states 'among employed',Retained contextual variable; considered descriptively or during feature selection,Scotland's Census 2022 economic activity
economic_inactive_long_term_sick_disabled_rate_pct,float64,Health-related economic predictor,The percentage of people aged 16+ who were economically inactive because of long-term sickness or disability.,Council area × sex; adult population aged 16+; repeated across HLE age rows,Council-area-and-sex population aged 16+ unless the name states 'among employed',Primary modelling feature or subgroup field,Scotland's Census 2022 economic activity
economic_inactive_retired_rate_pct,float64,Population-structure economic predictor,The percentage of people aged 16+ who were economically inactive because they were retired.,Council area × sex; adult population aged 16+; repeated across HLE age rows,Council-area-and-sex population aged 16+ unless the name states 'among employed',Retained contextual variable; considered descriptively or during feature selection,Scotland's Census 2022 economic activity
