healthy_life_expectancy_period,council_area_code,council_area,sex,age_group,healthy_life_expectancy_years,healthy_life_expectancy_lower_95_ci,healthy_life_expectancy_upper_95_ci,simd_datazone_count,simd_rank_median,simd_most_deprived_15pct_datazones_share_pct,simd_least_deprived_15pct_datazones_share_pct,simd_most_deprived_quintile_datazones_share_pct,simd_least_deprived_quintile_datazones_share_pct,economic_population_aged_16plus_count,economic_employment_rate_pct,economic_unemployment_rate_pct,economic_inactivity_rate_pct,economic_inactive_long_term_sick_disabled_rate_pct,economic_inactive_retired_rate_pct,economic_inactive_looking_after_home_family_rate_pct,economic_active_full_time_student_rate_pct,economic_part_time_among_employed_pct,economic_self_employed_among_employed_pct,census_total_population_count,census_ethnic_minority_excluding_white_population_pct,census_ethnic_mixed_or_multiple_population_pct,census_ethnic_asian_population_pct,census_ethnic_african_population_pct,census_ethnic_caribbean_or_black_population_pct,census_ethnic_other_ethnic_group_population_pct,census_ethnic_diversity_simpson_index_broad_groups,census_degree_level_qualification_or_above_population_aged_16plus_pct,census_bad_or_very_bad_general_health_age_standardised_pct,census_day_to_day_activities_limited_any_pct,census_day_to_day_activities_limited_a_lot_pct,census_long_term_illness_disease_or_condition_pct,census_mental_health_condition_pct,census_physical_disability_pct,census_learning_disability_difficulty_or_developmental_disorder_pct,census_deaf_or_hearing_impaired_pct,census_blind_or_vision_impaired_pct,hospital_alcohol_related_patients_easr_per_100000_2023_24
2022 to 2024,S12000033,Aberdeen City,Female,<1,59,54.8,63.3,283,4429,4.946996,31.095406,10.954064,36.39576,97378,56.753065,3.651749,39.595186,3.777034,21.430919,5.164411,8.048019,41.536235,7.574414,224021,13.43624,1.781083,5.843649,3.95945,0.245066,1.605653,0.245108,38.1,5.5,20.151236,8.059066,18.370599,11.167257,7.580093,5.117824,6.00658,2.307373,335
2022 to 2024,S12000033,Aberdeen City,Female,01 to 04,58.4,54.3,62.5,283,4429,4.946996,31.095406,10.954064,36.39576,97378,56.753065,3.651749,39.595186,3.777034,21.430919,5.164411,8.048019,41.536235,7.574414,224021,13.43624,1.781083,5.843649,3.95945,0.245066,1.605653,0.245108,38.1,5.5,20.151236,8.059066,18.370599,11.167257,7.580093,5.117824,6.00658,2.307373,335
2022 to 2024,S12000033,Aberdeen City,Female,05 to 09,54.8,51.1,58.5,283,4429,4.946996,31.095406,10.954064,36.39576,97378,56.753065,3.651749,39.595186,3.777034,21.430919,5.164411,8.048019,41.536235,7.574414,224021,13.43624,1.781083,5.843649,3.95945,0.245066,1.605653,0.245108,38.1,5.5,20.151236,8.059066,18.370599,11.167257,7.580093,5.117824,6.00658,2.307373,335
2022 to 2024,S12000033,Aberdeen City,Female,10 to 14,50.3,47,53.5,283,4429,4.946996,31.095406,10.954064,36.39576,97378,56.753065,3.651749,39.595186,3.777034,21.430919,5.164411,8.048019,41.536235,7.574414,224021,13.43624,1.781083,5.843649,3.95945,0.245066,1.605653,0.245108,38.1,5.5,20.151236,8.059066,18.370599,11.167257,7.580093,5.117824,6.00658,2.307373,335
2022 to 2024,S12000033,Aberdeen City,Female,15 to 19,45.9,42.9,48.8,283,4429,4.946996,31.095406,10.954064,36.39576,97378,56.753065,3.651749,39.595186,3.777034,21.430919,5.164411,8.048019,41.536235,7.574414,224021,13.43624,1.781083,5.843649,3.95945,0.245066,1.605653,0.245108,38.1,5.5,20.151236,8.059066,18.370599,11.167257,7.580093,5.117824,6.00658,2.307373,335
2022 to 2024,S12000033,Aberdeen City,Female,20 to 24,41.7,38.8,44.5,283,4429,4.946996,31.095406,10.954064,36.39576,97378,56.753065,3.651749,39.595186,3.777034,21.430919,5.164411,8.048019,41.536235,7.574414,224021,13.43624,1.781083,5.843649,3.95945,0.245066,1.605653,0.245108,38.1,5.5,20.151236,8.059066,18.370599,11.167257,7.580093,5.117824,6.00658,2.307373,335
2022 to 2024,S12000033,Aberdeen City,Female,25 to 29,37.6,34.9,40.3,283,4429,4.946996,31.095406,10.954064,36.39576,97378,56.753065,3.651749,39.595186,3.777034,21.430919,5.164411,8.048019,41.536235,7.574414,224021,13.43624,1.781083,5.843649,3.95945,0.245066,1.605653,0.245108,38.1,5.5,20.151236,8.059066,18.370599,11.167257,7.580093,5.117824,6.00658,2.307373,335
2022 to 2024,S12000033,Aberdeen City,Female,30 to 34,33.6,31,36.3,283,4429,4.946996,31.095406,10.954064,36.39576,97378,56.753065,3.651749,39.595186,3.777034,21.430919,5.164411,8.048019,41.536235,7.574414,224021,13.43624,1.781083,5.843649,3.95945,0.245066,1.605653,0.245108,38.1,5.5,20.151236,8.059066,18.370599,11.167257,7.580093,5.117824,6.00658,2.307373,335
2022 to 2024,S12000033,Aberdeen City,Female,35 to 39,29.8,27.2,32.3,283,4429,4.946996,31.095406,10.954064,36.39576,97378,56.753065,3.651749,39.595186,3.777034,21.430919,5.164411,8.048019,41.536235,7.574414,224021,13.43624,1.781083,5.843649,3.95945,0.245066,1.605653,0.245108,38.1,5.5,20.151236,8.059066,18.370599,11.167257,7.580093,5.117824,6.00658,2.307373,335
2022 to 2024,S12000033,Aberdeen City,Female,40 to 44,26,23.5,28.5,283,4429,4.946996,31.095406,10.954064,36.39576,97378,56.753065,3.651749,39.595186,3.777034,21.430919,5.164411,8.048019,41.536235,7.574414,224021,13.43624,1.781083,5.843649,3.95945,0.245066,1.605653,0.245108,38.1,5.5,20.151236,8.059066,18.370599,11.167257,7.580093,5.117824,6.00658,2.307373,335
2022 to 2024,S12000033,Aberdeen City,Female,45 to 49,22.5,20.1,24.9,283,4429,4.946996,31.095406,10.954064,36.39576,97378,56.753065,3.651749,39.595186,3.777034,21.430919,5.164411,8.048019,41.536235,7.574414,224021,13.43624,1.781083,5.843649,3.95945,0.245066,1.605653,0.245108,38.1,5.5,20.151236,8.059066,18.370599,11.167257,7.580093,5.117824,6.00658,2.307373,335
2022 to 2024,S12000033,Aberdeen City,Female,50 to 54,19.1,16.8,21.4,283,4429,4.946996,31.095406,10.954064,36.39576,97378,56.753065,3.651749,39.595186,3.777034,21.430919,5.164411,8.048019,41.536235,7.574414,224021,13.43624,1.781083,5.843649,3.95945,0.245066,1.605653,0.245108,38.1,5.5,20.151236,8.059066,18.370599,11.167257,7.580093,5.117824,6.00658,2.307373,335
2022 to 2024,S12000033,Aberdeen City,Female,55 to 59,16,13.8,18.2,283,4429,4.946996,31.095406,10.954064,36.39576,97378,56.753065,3.651749,39.595186,3.777034,21.430919,5.164411,8.048019,41.536235,7.574414,224021,13.43624,1.781083,5.843649,3.95945,0.245066,1.605653,0.245108,38.1,5.5,20.151236,8.059066,18.370599,11.167257,7.580093,5.117824,6.00658,2.307373,335
2022 to 2024,S12000033,Aberdeen City,Female,60 to 64,13.1,10.9,15.2,283,4429,4.946996,31.095406,10.954064,36.39576,97378,56.753065,3.651749,39.595186,3.777034,21.430919,5.164411,8.048019,41.536235,7.574414,224021,13.43624,1.781083,5.843649,3.95945,0.245066,1.605653,0.245108,38.1,5.5,20.151236,8.059066,18.370599,11.167257,7.580093,5.117824,6.00658,2.307373,335
2022 to 2024,S12000033,Aberdeen City,Female,65 to 69,10.4,8.3,12.4,283,4429,4.946996,31.095406,10.954064,36.39576,97378,56.753065,3.651749,39.595186,3.777034,21.430919,5.164411,8.048019,41.536235,7.574414,224021,13.43624,1.781083,5.843649,3.95945,0.245066,1.605653,0.245108,38.1,5.5,20.151236,8.059066,18.370599,11.167257,7.580093,5.117824,6.00658,2.307373,335
2022 to 2024,S12000033,Aberdeen City,Female,70 to 74,7.9,5.8,10,283,4429,4.946996,31.095406,10.954064,36.39576,97378,56.753065,3.651749,39.595186,3.777034,21.430919,5.164411,8.048019,41.536235,7.574414,224021,13.43624,1.781083,5.843649,3.95945,0.245066,1.605653,0.245108,38.1,5.5,20.151236,8.059066,18.370599,11.167257,7.580093,5.117824,6.00658,2.307373,335
2022 to 2024,S12000033,Aberdeen City,Female,75 to 79,5.7,3.5,7.9,283,4429,4.946996,31.095406,10.954064,36.39576,97378,56.753065,3.651749,39.595186,3.777034,21.430919,5.164411,8.048019,41.536235,7.574414,224021,13.43624,1.781083,5.843649,3.95945,0.245066,1.605653,0.245108,38.1,5.5,20.151236,8.059066,18.370599,11.167257,7.580093,5.117824,6.00658,2.307373,335
2022 to 2024,S12000033,Aberdeen City,Female,80 to 84,3.8,1.6,6,283,4429,4.946996,31.095406,10.954064,36.39576,97378,56.753065,3.651749,39.595186,3.777034,21.430919,5.164411,8.048019,41.536235,7.574414,224021,13.43624,1.781083,5.843649,3.95945,0.245066,1.605653,0.245108,38.1,5.5,20.151236,8.059066,18.370599,11.167257,7.580093,5.117824,6.00658,2.307373,335
2022 to 2024,S12000033,Aberdeen City,Female,85 to 89,2.3,1,3.7,283,4429,4.946996,31.095406,10.954064,36.39576,97378,56.753065,3.651749,39.595186,3.777034,21.430919,5.164411,8.048019,41.536235,7.574414,224021,13.43624,1.781083,5.843649,3.95945,0.245066,1.605653,0.245108,38.1,5.5,20.151236,8.059066,18.370599,11.167257,7.580093,5.117824,6.00658,2.307373,335
2022 to 2024,S12000033,Aberdeen City,Female,90+,1.3,0.6,2.1,283,4429,4.946996,31.095406,10.954064,36.39576,97378,56.753065,3.651749,39.595186,3.777034,21.430919,5.164411,8.048019,41.536235,7.574414,224021,13.43624,1.781083,5.843649,3.95945,0.245066,1.605653,0.245108,38.1,5.5,20.151236,8.059066,18.370599,11.167257,7.580093,5.117824,6.00658,2.307373,335
2022 to 2024,S12000033,Aberdeen City,Male,<1,58.8,55,62.6,283,4429,4.946996,31.095406,10.954064,36.39576,91450,63.61181,4.592674,31.797704,3.920175,17.986878,1.003827,6.400219,16.38217,12.706926,224021,13.43624,1.781083,5.843649,3.95945,0.245066,1.605653,0.245108,38.1,5.5,20.151236,8.059066,18.370599,11.167257,7.580093,5.117824,6.00658,2.307373,335
2022 to 2024,S12000033,Aberdeen City,Male,01 to 04,58.2,54.5,61.8,283,4429,4.946996,31.095406,10.954064,36.39576,91450,63.61181,4.592674,31.797704,3.920175,17.986878,1.003827,6.400219,16.38217,12.706926,224021,13.43624,1.781083,5.843649,3.95945,0.245066,1.605653,0.245108,38.1,5.5,20.151236,8.059066,18.370599,11.167257,7.580093,5.117824,6.00658,2.307373,335
2022 to 2024,S12000033,Aberdeen City,Male,05 to 09,54.5,51.2,57.8,283,4429,4.946996,31.095406,10.954064,36.39576,91450,63.61181,4.592674,31.797704,3.920175,17.986878,1.003827,6.400219,16.38217,12.706926,224021,13.43624,1.781083,5.843649,3.95945,0.245066,1.605653,0.245108,38.1,5.5,20.151236,8.059066,18.370599,11.167257,7.580093,5.117824,6.00658,2.307373,335
