healthy_life_expectancy_period,council_area_code,council_area,sex,age_group,healthy_life_expectancy_years,healthy_life_expectancy_lower_95_ci,healthy_life_expectancy_upper_95_ci,simd_datazone_count,simd_rank_median,simd_most_deprived_15pct_datazones_share_pct,simd_least_deprived_15pct_datazones_share_pct,simd_most_deprived_quintile_datazones_share_pct,simd_least_deprived_quintile_datazones_share_pct,economic_population_aged_16plus_count,economic_employment_rate_pct,economic_unemployment_rate_pct,economic_inactivity_rate_pct,economic_inactive_long_term_sick_disabled_rate_pct,economic_inactive_retired_rate_pct,economic_inactive_looking_after_home_family_rate_pct,economic_active_full_time_student_rate_pct,economic_part_time_among_employed_pct,economic_self_employed_among_employed_pct,census_total_population_count,census_ethnic_minority_excluding_white_population_pct,census_ethnic_mixed_or_multiple_population_pct,census_ethnic_asian_population_pct,census_ethnic_african_population_pct,census_ethnic_caribbean_or_black_population_pct,census_ethnic_other_ethnic_group_population_pct,census_ethnic_diversity_simpson_index_broad_groups,census_degree_level_qualification_or_above_population_aged_16plus_pct,census_bad_or_very_bad_general_health_age_standardised_pct,census_day_to_day_activities_limited_any_pct,census_day_to_day_activities_limited_a_lot_pct,census_long_term_illness_disease_or_condition_pct,census_mental_health_condition_pct,census_physical_disability_pct,census_learning_disability_difficulty_or_developmental_disorder_pct,census_deaf_or_hearing_impaired_pct,census_blind_or_vision_impaired_pct,hospital_alcohol_related_patients_easr_per_100000_2023_24,sex_female,hle_ci_width_years,hle_category,hle_category_code,deprivation_quartile
2022 to 2024,S12000033,Aberdeen City,Female,<1,59.0,54.8,63.3,283,4429.0,4.946996,31.095406,10.954064,36.39576,97378,56.753065,3.651749,39.595186,3.777034,21.430919,5.164411,8.048019,41.536235,7.574414,224021,13.43624,1.781083,5.843649,3.95945,0.245066,1.605653,0.245108,38.1,5.5,20.151236,8.059066,18.370599,11.167257,7.580093,5.117824,6.00658,2.307373,335.0,1,8.5,Middle HLE,1,Q2
2022 to 2024,S12000033,Aberdeen City,Male,<1,58.8,55.0,62.6,283,4429.0,4.946996,31.095406,10.954064,36.39576,91450,63.61181,4.592674,31.797704,3.920175,17.986878,1.003827,6.400219,16.38217,12.706926,224021,13.43624,1.781083,5.843649,3.95945,0.245066,1.605653,0.245108,38.1,5.5,20.151236,8.059066,18.370599,11.167257,7.580093,5.117824,6.00658,2.307373,335.0,0,7.600000000000001,Middle HLE,1,Q2
2022 to 2024,S12000034,Aberdeenshire,Female,<1,64.7,60.6,68.7,340,4922.5,1.470588,16.470588,2.647059,28.235294,110242,57.939805,1.743437,40.315851,3.50683,26.497161,6.141035,3.140364,48.063375,11.359865,263723,2.922005,0.786431,1.114427,0.497871,0.096692,0.425446,0.057356,31.1,4.2,19.807525,7.556793,19.767332,8.290138,7.351653,4.505106,7.463892,2.346401,190.2,1,8.100000000000001,High HLE,2,Q1: least exposed
2022 to 2024,S12000034,Aberdeenshire,Male,<1,64.1,59.9,68.3,340,4922.5,1.470588,16.470588,2.647059,28.235294,104780,66.297958,2.288605,31.413438,2.839282,22.666539,0.955335,2.250429,11.527776,18.424576,263723,2.922005,0.786431,1.114427,0.497871,0.096692,0.425446,0.057356,31.1,4.2,19.807525,7.556793,19.767332,8.290138,7.351653,4.505106,7.463892,2.346401,190.2,0,8.399999999999999,High HLE,2,Q1: least exposed
2022 to 2024,S12000041,Angus,Female,<1,62.9,58.7,67.2,155,3894.0,4.516129,7.096774,8.387097,12.258065,50122,52.525837,1.947249,45.534895,4.69255,31.329556,4.923985,3.268026,44.748737,10.426558,114342,2.185549,0.65068,0.989138,0.15305,0.059471,0.331462,0.043079,28.3,5.6,24.675098,10.398629,23.824142,10.249077,9.750573,4.857358,8.579525,2.626332,344.3,1,8.5,High HLE,2,Q2
2022 to 2024,S12000041,Angus,Male,<1,62.2,58.7,65.8,155,3894.0,4.516129,7.096774,8.387097,12.258065,45925,58.656505,2.956995,38.384322,4.191617,27.703865,1.217202,2.131737,14.113891,18.438637,114342,2.185549,0.65068,0.989138,0.15305,0.059471,0.331462,0.043079,28.3,5.6,24.675098,10.398629,23.824142,10.249077,9.750573,4.857358,8.579525,2.626332,344.3,0,7.099999999999994,High HLE,2,Q2
2022 to 2024,S12000035,Argyll and Bute,Female,<1,58.9,53.0,64.8,125,3664.0,8.8,6.4,10.4,8.8,37772,52.652759,1.511702,45.840834,4.638356,32.277878,4.490098,1.866462,43.448311,14.923572,85970,2.279865,0.771199,0.882866,0.179132,0.095382,0.351285,0.044924,34.0,5.6,25.277422,10.631616,23.559381,9.306735,10.237292,4.755147,9.019425,2.825404,439.8,1,11.799999999999997,Middle HLE,1,Q2
2022 to 2024,S12000035,Argyll and Bute,Male,<1,58.8,54.2,63.4,125,3664.0,8.8,6.4,10.4,8.8,35641,59.36141,2.14921,38.48938,4.318061,28.164193,1.259785,1.357987,15.106111,24.625419,85970,2.279865,0.771199,0.882866,0.179132,0.095382,0.351285,0.044924,34.0,5.6,25.277422,10.631616,23.559381,9.306735,10.237292,4.755147,9.019425,2.825404,439.8,0,9.199999999999996,Middle HLE,1,Q2
2022 to 2024,S12000036,City of Edinburgh,Female,<1,63.9,60.8,67.1,597,5049.0,8.710218,38.525963,12.060302,43.383585,229062,58.404275,2.45654,39.136566,3.462818,19.962281,4.306694,6.800342,37.987921,10.584384,514543,15.120408,2.503581,8.564882,1.838913,0.275779,1.936864,0.270862,50.0,5.4,19.542196,7.623464,18.069627,11.902407,6.714696,5.727801,5.637235,2.191071,334.3,1,6.299999999999997,High HLE,2,Q3
2022 to 2024,S12000036,City of Edinburgh,Male,<1,63.2,60.1,66.2,597,5049.0,8.710218,38.525963,12.060302,43.383585,210465,64.223505,2.953935,32.82256,3.762621,16.914926,1.093769,5.769605,19.28267,16.344845,514543,15.120408,2.503581,8.564882,1.838913,0.275779,1.936864,0.270862,50.0,5.4,19.542196,7.623464,18.069627,11.902407,6.714696,5.727801,5.637235,2.191071,334.3,0,6.100000000000001,High HLE,2,Q3
2022 to 2024,S12000005,Clackmannanshire,Female,<1,54.9,49.5,60.2,72,2721.5,19.444444,6.944444,27.777778,16.666667,22213,54.179985,2.04835,43.803178,6.460181,26.660064,5.316706,3.092784,41.960947,8.300789,51778,3.109429,0.621886,1.502569,0.345707,0.04442,0.594847,0.06091,26.0,7.3,25.980146,11.682568,22.273939,12.412608,10.60489,5.396114,7.738808,2.57059,344.3,1,10.700000000000003,Low HLE,0,Q4: most exposed
2022 to 2024,S12000005,Clackmannanshire,Male,<1,54.8,49.6,60.0,72,2721.5,19.444444,6.944444,27.777778,16.666667,20852,57.19835,3.083637,39.718013,5.90351,23.94015,1.616152,1.990217,14.236606,14.328834,51778,3.109429,0.621886,1.502569,0.345707,0.04442,0.594847,0.06091,26.0,7.3,25.980146,11.682568,22.273939,12.412608,10.60489,5.396114,7.738808,2.57059,344.3,0,10.399999999999999,Low HLE,0,Q4: most exposed
2022 to 2024,S12000006,Dumfries and Galloway,Female,<1,59.1,52.6,65.5,201,3283.0,6.965174,5.472637,9.452736,7.960199,64402,51.198721,1.549641,47.251638,5.48896,32.422906,4.922207,2.47042,47.981682,12.786219,145895,1.926043,0.627163,0.73546,0.187806,0.069228,0.306385,0.038043,26.0,6.5,27.203126,11.994242,23.650571,10.236814,11.587786,4.564241,9.210048,2.953494,330.3,1,12.899999999999999,Middle HLE,1,Q2
2022 to 2024,S12000006,Dumfries and Galloway,Male,<1,58.8,54.7,62.9,201,3283.0,6.965174,5.472637,9.452736,7.960199,59330,57.586381,2.10686,40.318557,5.101972,28.951626,1.464689,1.596157,15.079319,24.313645,145895,1.926043,0.627163,0.73546,0.187806,0.069228,0.306385,0.038043,26.0,6.5,27.203126,11.994242,23.650571,10.236814,11.587786,4.564241,9.210048,2.953494,330.3,0,8.199999999999996,Middle HLE,1,Q2
2022 to 2024,S12000042,Dundee City,Female,<1,55.7,51.3,60.0,188,2040.0,31.914894,11.170213,38.297872,15.425532,65092,52.233761,3.278437,44.487802,5.90856,22.640263,5.080501,7.959503,42.897059,6.635294,148697,10.138739,1.324842,5.92211,1.405543,0.125759,1.360485,0.188428,31.3,7.8,25.697223,11.6001,21.578109,14.073586,10.272568,6.30813,6.841429,2.75325,523.6,1,8.700000000000003,Low HLE,0,Q4: most exposed
2022 to 2024,S12000042,Dundee City,Male,<1,55.9,52.0,59.7,188,2040.0,31.914894,11.170213,38.297872,15.425532,60135,56.484576,4.83246,38.687952,5.732103,19.492808,1.902386,6.349048,20.678894,14.593576,148697,10.138739,1.324842,5.92211,1.405543,0.125759,1.360485,0.188428,31.3,7.8,25.697223,11.6001,21.578109,14.073586,10.272568,6.30813,6.841429,2.75325,523.6,0,7.700000000000003,Low HLE,0,Q4: most exposed
2022 to 2024,S12000008,East Ayrshire,Female,<1,53.5,48.1,58.9,163,2293.0,22.08589,7.97546,31.90184,10.429448,51998,53.419362,2.45971,44.124774,6.625255,26.835648,5.471364,3.480903,42.603593,8.291032,120324,2.16665,0.58758,1.036368,0.191982,0.081447,0.270935,0.04271,23.4,7.7,27.100163,12.814567,23.783285,11.680961,11.660184,4.971577,7.36179,2.79994,375.2,1,10.799999999999997,Low HLE,0,Q4: most exposed
