council_area_code,council_area,council_mean_hle,council_population,most_deprived_quintile_share,least_deprived_quintile_share,deprivation_quartile
S12000005,Clackmannanshire,54.849999999999994,51778,27.777778,16.666667,Q4: most exposed
S12000006,Dumfries and Galloway,58.95,145895,9.452736,7.960199,Q2
S12000008,East Ayrshire,53.85,120324,31.90184,10.429448,Q4: most exposed
S12000010,East Lothian,60.3,112284,6.818182,18.939394,Q2
S12000011,East Renfrewshire,68.30000000000001,96817,6.557377,55.737705,Q2
S12000013,Na h-Eileanan Siar,63.95,26140,0.0,0.0,Q1: least exposed
S12000014,Falkirk,59.0,158404,17.28972,17.757009,Q3
S12000017,Highland,61.5,235351,10.576923,7.371795,Q2
S12000018,Inverclyde,53.85,78426,45.614035,14.035088,Q4: most exposed
S12000019,Midlothian,60.599999999999994,96527,10.434783,13.913043,Q2
S12000020,Moray,61.9,93293,3.174603,11.111111,Q1: least exposed
S12000021,North Ayrshire,53.4,133413,40.322581,9.139785,Q4: most exposed
S12000023,Orkney Islands,73.5,21958,0.0,0.0,Q1: least exposed
S12000026,Scottish Borders,62.65,116821,6.293706,8.391608,Q1: least exposed
S12000027,Shetland Islands,69.55,22986,0.0,0.0,Q1: least exposed
S12000028,South Ayrshire,57.75,111519,18.300654,20.261438,Q3
S12000029,South Lanarkshire,57.95,327056,21.345708,16.009281,Q3
S12000030,Stirling,60.25,92604,12.396694,26.446281,Q3
S12000033,Aberdeen City,58.9,224021,10.954064,36.39576,Q2
S12000034,Aberdeenshire,64.4,263723,2.647059,28.235294,Q1: least exposed
S12000035,Argyll and Bute,58.849999999999994,85970,10.4,8.8,Q2
S12000036,City of Edinburgh,63.55,514543,12.060302,43.383585,Q3
S12000038,Renfrewshire,56.5,183874,24.888889,20.888889,Q3
S12000039,West Dunbartonshire,53.1,88399,39.669421,5.785124,Q4: most exposed
S12000040,West Lothian,60.15,181278,15.481172,19.246862,Q3
S12000041,Angus,62.55,114342,8.387097,12.258065,Q2
S12000042,Dundee City,55.8,148697,38.297872,15.425532,Q4: most exposed
S12000045,East Dunbartonshire,64.25,108937,3.846154,50.0,Q1: least exposed
S12000047,Fife,58.95,371781,19.838057,19.02834,Q3
S12000048,Perth and Kinross,65.85,150953,6.451613,22.043011,Q1: least exposed
S12000049,Glasgow City,55.900000000000006,620756,45.978552,10.857909,Q4: most exposed
S12000050,North Lanarkshire,52.599999999999994,340973,34.675615,10.290828,Q4: most exposed
