age_group,female_minus_male_years
<1,0.4156249999999986
01 to 04,0.3500000000000014
05 to 09,0.40625
10 to 14,0.48124999999999574
15 to 19,0.5687500000000014
20 to 24,0.6937499999999943
25 to 29,0.78125
30 to 34,0.8562500000000028
35 to 39,0.90625
40 to 44,0.9656249999999993
45 to 49,0.984375
50 to 54,0.9968749999999993
55 to 59,1.0062500000000014
60 to 64,0.9937499999999986
65 to 69,0.8812499999999996
70 to 74,0.7499999999999991
75 to 79,0.5500000000000007
80 to 84,0.3468749999999998
85 to 89,0.15312499999999973
90+,-0.0031249999999998224
