,HLE at birth,Most deprived quintile %,Median SIMD rank,Employment %,Unemployment %,Inactive: long-term sick %,Degree+ %,Ethnic diversity,Long-term condition %,Mental health condition %,Bad/very bad health %,Alcohol-related patient rate
HLE at birth,1.0,-0.9097744513881585,0.8568286120139466,0.4933088992147048,-0.6980751721328858,-0.9171402537239569,0.5860077120360533,-0.10357470384849803,-0.3827681090896706,-0.7915673826863974,-0.9332848657049243,-0.6814556816604315
Most deprived quintile %,-0.9097744513881585,1.0,-0.8045471754730738,-0.4433443642419992,0.7979465149632673,0.8844885083140629,-0.4442406456346295,0.33480016919184885,0.23579026154475224,0.9017235663118908,0.9349245961814786,0.692032665766774
Median SIMD rank,0.8568286120139466,-0.8045471754730738,1.0,0.40212609970674484,-0.437683284457478,-0.9527126099706745,0.6804180875525471,0.06671554252199413,-0.4835043988269795,-0.7448680351906158,-0.920452072325161,-0.7612501177604735
Employment %,0.4933088992147048,-0.4433443642419992,0.40212609970674484,1.0,-0.39296187683284456,-0.5252932551319648,0.19691970520922544,0.2470674486803519,-0.5964076246334311,-0.2965542521994135,-0.4205893440528846,-0.3737512617658573
Unemployment %,-0.6980751721328858,0.7979465149632673,-0.437683284457478,-0.39296187683284456,1.0,0.5604838709677419,-0.1809681089771932,0.42302052785923755,-0.0373900293255132,0.782624633431085,0.6499683493173286,0.45238750075435796
Inactive: long-term sick %,-0.9171402537239569,0.8844885083140629,-0.9527126099706745,-0.5252932551319648,0.5604838709677419,1.0,-0.6587825892148482,-0.017961876832844576,0.5179618768328446,0.783357771260997,0.9652268541527805,0.7768307245530668
Degree+ %,0.5860077120360533,-0.4442406456346295,0.6804180875525471,0.19691970520922544,-0.1809681089771932,-0.6587825892148482,1.0,0.3874221015894724,-0.6171617576669021,-0.43197656003066587,-0.6096376563751601,-0.4030439319966532
Ethnic diversity,-0.10357470384849803,0.33480016919184885,0.06671554252199413,0.2470674486803519,0.42302052785923755,-0.017961876832844576,0.3874221015894724,1.0,-0.7401026392961877,0.33064516129032256,0.184420720232613,-0.0023829163329848677
Long-term condition %,-0.3827681090896706,0.23579026154475224,-0.4835043988269795,-0.5964076246334311,-0.0373900293255132,0.5179618768328446,-0.6171617576669021,-0.7401026392961877,1.0,0.14002932551319647,0.3607672994799176,0.48098249675017635
Mental health condition %,-0.7915673826863974,0.9017235663118908,-0.7448680351906158,-0.2965542521994135,0.782624633431085,0.783357771260997,-0.43197656003066587,0.33064516129032256,0.14002932551319647,1.0,0.8437477329647309,0.6006782171685701
Bad/very bad health %,-0.9332848657049243,0.9349245961814786,-0.920452072325161,-0.4205893440528846,0.6499683493173286,0.9652268541527805,-0.6096376563751601,0.184420720232613,0.3607672994799176,0.8437477329647309,1.0,0.7763814580045879
Alcohol-related patient rate,-0.6814556816604315,0.692032665766774,-0.7612501177604735,-0.3737512617658573,0.45238750075435796,0.7768307245530668,-0.4030439319966532,-0.0023829163329848677,0.48098249675017635,0.6006782171685701,0.7763814580045879,1.0
