feature,feature_label,n_councils,spearman_rho,p_value,ci_lower,ci_upper,bh_rank,q_value
census_bad_or_very_bad_general_health_age_standardised_pct,Bad/very bad health %,32,-0.9332848657049244,7.007474181843977e-15,-0.9641458166166582,-0.8478329445199377,1,7.708221600028374e-14
economic_inactive_long_term_sick_disabled_rate_pct,Inactive: long-term sick %,32,-0.9171402537239569,1.620909304053836e-13,-0.9638658283628468,-0.802365806485485,2,8.915001172296098e-13
simd_most_deprived_quintile_datazones_share_pct,Most deprived quintile %,32,-0.9097744513881584,5.529903659101278e-13,-0.9525901525512963,-0.7998134325221533,3,2.0276313416704684e-12
census_mental_health_condition_pct,Mental health condition %,32,-0.7915673826863974,6.862648894021109e-08,-0.895726204190845,-0.5894908847116801,5,1.509782756684644e-07
economic_unemployment_rate_pct,Unemployment %,32,-0.6980751721328858,8.920238778458541e-06,-0.8367405964524312,-0.4585097862225754,6,1.635377109384066e-05
hospital_alcohol_related_patients_easr_per_100000_2023_24,Alcohol-related patient rate,32,-0.6814556816604315,1.756469101987827e-05,-0.8597260273406566,-0.39365427200641884,7,2.7601657316951566e-05
census_long_term_illness_disease_or_condition_pct,Long-term condition %,32,-0.3827681090896707,0.03060118102567812,-0.6443315468914338,-0.05353686213837421,10,0.03366129912824593
census_ethnic_diversity_simpson_index_broad_groups,Ethnic diversity,32,-0.10357470384849805,0.5726745254284482,-0.4731868231199516,0.25896664037631834,11,0.5726745254284482
economic_employment_rate_pct,Employment %,32,0.4933088992147048,0.004118614695131858,0.18247840879857435,0.7174098127564459,9,0.005033862405161159
census_degree_level_qualification_or_above_population_aged_16plus_pct,Degree+ %,32,0.5860077120360532,0.0004248900459419372,0.2709789581103822,0.8081864175823327,8,0.0005842238131701636
simd_rank_median,Median SIMD rank,32,0.8568286120139468,3.9038819833799855e-10,0.6989646495615925,0.9289686915405553,4,1.073567545429496e-09
