council_area,PC1,PC2,council_mean_hle,deprivation_quartile
Aberdeen City,-2.7041023191410662,1.981862551271616,58.9,Q2
Aberdeenshire,-2.295640134263949,-1.0363898302839685,64.4,Q1: least exposed
Angus,0.5649397909099673,-1.366462435830202,62.55,Q2
Argyll and Bute,0.41739831529485655,-0.7415964730685227,58.849999999999994,Q2
City of Edinburgh,-3.875801118318331,2.7705368703004125,63.55,Q3
Clackmannanshire,1.3272660679656823,-0.11452975494510959,54.849999999999994,Q4: most exposed
Dumfries and Galloway,1.097009889531169,-1.3076981555660583,58.95,Q2
Dundee City,1.2998322787698848,2.1469979086331823,55.8,Q4: most exposed
East Ayrshire,2.2843625750240344,-0.5125348898719614,53.85,Q4: most exposed
East Dunbartonshire,-2.2444647631928225,0.1453851059188858,64.25,Q1: least exposed
East Lothian,-1.5438231424950992,-0.7930575910912262,60.3,Q2
East Renfrewshire,-3.0549827207284914,1.442497794378197,68.30000000000001,Q2
Falkirk,0.4187723937524892,-0.4337373801596505,59.0,Q3
Fife,1.3255344855611328,-0.18864004030260406,58.95,Q3
Glasgow City,1.294681674956826,4.6260990718102555,55.900000000000006,Q4: most exposed
Highland,-0.39698122613675546,-0.7925616082124002,61.5,Q2
Inverclyde,3.8542023802896748,0.7716455969965343,53.85,Q4: most exposed
Midlothian,-1.3719059511891059,-0.4941446949852956,60.599999999999994,Q2
Moray,-0.8580965703939135,-1.3544166121966386,61.9,Q1: least exposed
Na h-Eileanan Siar,0.3522490191196834,-0.4302075317028512,63.95,Q1: least exposed
North Ayrshire,3.4826701763096333,-0.11344561187042292,53.4,Q4: most exposed
North Lanarkshire,1.9813010698270652,0.5428404736854469,52.599999999999994,Q4: most exposed
Orkney Islands,-1.053864021980843,-1.5818879918399353,73.5,Q1: least exposed
Perth and Kinross,-1.1394752288881564,-0.7302201674741999,65.85,Q1: least exposed
Renfrewshire,0.3566526802576081,0.5326486373140452,56.5,Q3
Scottish Borders,-0.8043063374520916,-1.258852709979771,62.65,Q1: least exposed
Shetland Islands,-1.9800642864501152,-1.7724774885234342,69.55,Q1: least exposed
South Ayrshire,1.5843528418216988,-0.7199376197320116,57.75,Q3
South Lanarkshire,0.5604404600993239,0.007219242723625195,57.95,Q3
Stirling,-1.5987971840288713,0.38308159892044735,60.25,Q3
West Dunbartonshire,3.0056817576263453,0.5193731986021735,53.1,Q4: most exposed
West Lothian,-0.28504285245745953,-0.12738946291855652,60.15,Q3
