model,feature,feature_label,estimate_years,clustered_standard_error,ci_lower,ci_upper,t_statistic,p_value
Model 1: sex + deprivation,Intercept,Intercept,59.899999999999984,0.46232921734539584,58.95707334456212,60.84292665543785,129.5613553128528,5.889520899363379e-44
Model 1: sex + deprivation,sex_female,Female sex,0.41562499999995595,0.11417989054041121,0.1827535779347172,0.6484964220651948,3.6400893189931334,0.0009821730212916926
Model 1: sex + deprivation,simd_most_deprived_quintile_datazones_share_pct,Most deprived data zones (%),-4.134873362005848,0.566358121946753,-5.289968367192068,-2.9797783568196285,-7.300810568043015,3.240227391355711e-08
Model 2: + socioeconomic context,Intercept,Intercept,59.27528999078055,0.5053502881054309,58.24462128304923,60.30595869851187,117.29545106821821,1.2777798387803543e-42
Model 2: + socioeconomic context,sex_female,Female sex,1.665045018438832,0.9346985745175063,-0.24128529261717757,3.5713753294948414,1.7813710899241848,0.08465261983442351
Model 2: + socioeconomic context,simd_most_deprived_quintile_datazones_share_pct,Most deprived data zones (%),-3.204718713856927,1.2167467656135988,-5.686290103185201,-0.7231473245286528,-2.633841982921405,0.013053948058886135
Model 2: + socioeconomic context,economic_employment_rate_pct,Employment rate (%),0.8574253763326984,0.6348328537105713,-0.437324765024216,2.1521755176896127,1.350631699857818,0.18659103999501017
Model 2: + socioeconomic context,economic_inactive_long_term_sick_disabled_rate_pct,Inactive due to long-term sickness (%),-0.24979668271609423,1.41409997770339,-3.13387260179102,2.6342792363588314,-0.1766471159428089,0.8609346123759726
Model 2: + socioeconomic context,census_degree_level_qualification_or_above_population_aged_16plus_pct,Degree-level qualification or above (%),0.8974902227349637,0.5446607844268496,-0.21335277082841175,2.008333216298339,1.6477966624298075,0.10949493127995565
Model 3: + demographic context,Intercept,Intercept,59.28403301735317,0.5508421020737623,58.16058314333247,60.40748289137387,107.62436784364488,1.828891714726193e-41
Model 3: + demographic context,sex_female,Female sex,1.647558965293726,1.052206672879153,-0.498430692431334,3.793548623018786,1.5658130743321657,0.12754468227694038
Model 3: + demographic context,simd_most_deprived_quintile_datazones_share_pct,Most deprived data zones (%),-3.2269855550226456,1.1667264356114906,-5.606539808718434,-0.8474313013268571,-2.765845922854535,0.00948089299679077
Model 3: + demographic context,economic_employment_rate_pct,Employment rate (%),0.8435471689391019,0.7715617348914274,-0.7300633640969054,2.417157701975109,1.0932983464476813,0.2826861257630275
Model 3: + demographic context,economic_inactive_long_term_sick_disabled_rate_pct,Inactive due to long-term sickness (%),-0.25520301096663145,1.4648761261527665,-3.2428375675602807,2.732431545627018,-0.174214738304785,0.8628294591941873
Model 3: + demographic context,census_degree_level_qualification_or_above_population_aged_16plus_pct,Degree-level qualification or above (%),0.8646993236734262,1.0028516844024478,-1.1806301714066536,2.910028818753506,0.8622404859285447,0.39517652282207544
Model 3: + demographic context,census_ethnic_diversity_simpson_index_broad_groups,Ethnic diversity index,0.03510496211065828,1.0789120178131884,-2.1653506056980207,2.2355605299193373,0.03253737240021794,0.9742521081631288
Sensitivity: + health context,Intercept,Intercept,59.368752712052576,0.6106301485205856,58.123364313369805,60.614141110735346,97.22538734107579,4.229817140970023e-40
Sensitivity: + health context,sex_female,Female sex,1.4781195758947874,0.9919256305675214,-0.544926085472909,3.5011652372624837,1.4901516105084356,0.14628972173725174
Sensitivity: + health context,simd_most_deprived_quintile_datazones_share_pct,Most deprived data zones (%),-2.594506414762457,1.0692733184750647,-4.77530372566526,-0.4137091038596532,-2.426420233194064,0.02125829351897948
Sensitivity: + health context,economic_employment_rate_pct,Employment rate (%),1.2086430724312156,0.7930807038122097,-0.4088556870713136,2.826141831933745,1.5239849697785677,0.1376501952643989
Sensitivity: + health context,economic_inactive_long_term_sick_disabled_rate_pct,Inactive due to long-term sickness (%),2.060239283973182,2.308613661589182,-2.648209321372403,6.768687889318767,0.8924140570817612,0.3790463628440156
Sensitivity: + health context,census_degree_level_qualification_or_above_population_aged_16plus_pct,Degree-level qualification or above (%),0.14934838017851781,1.2685874455911694,-2.4379527730343447,2.7366495333913803,0.11772809253123309,0.9070426035380378
Sensitivity: + health context,census_ethnic_diversity_simpson_index_broad_groups,Ethnic diversity index,1.0921372875447126,1.6260834903717853,-2.2242818560317485,4.408556431121173,0.6716366619619316,0.5067897064843726
Sensitivity: + health context,census_bad_or_very_bad_general_health_age_standardised_pct,Bad or very bad health (%),-3.7249414496836173,2.9014956095009308,-9.642580759920909,2.192697860553674,-1.2838004777557883,0.208724956153638
Sensitivity: + health context,hospital_alcohol_related_patients_easr_per_100000_2023_24,Alcohol-related patient rate,0.47829261992634386,0.44284670899802664,-0.42489919776752894,1.3814844376202167,1.0800410395021705,0.28845539879019005
