council_area_code,council_area,sex,healthy_life_expectancy_years,fitted_hle,residual,leverage,cooks_distance
S12000033,Aberdeen City,Female,59.0,63.276959409746404,-4.276959409746404,0.19307590157304755,0.11349337072019758
S12000033,Aberdeen City,Male,58.8,62.91382330217832,-4.113823302178325,0.14266357950676042,0.06872889708499574
S12000034,Aberdeenshire,Female,64.7,64.45385239187381,0.24614760812619352,0.08789721559350705,0.00013394186196958048
S12000034,Aberdeenshire,Male,64.1,64.53263765754885,-0.4326376575488524,0.13961475888016453,0.0007386379222891145
S12000041,Angus,Female,62.9,61.466258793960954,1.4337412060390449,0.0889769816942717,0.004611030984517281
S12000041,Angus,Male,62.2,61.08712611293106,1.1128738870689432,0.09171302906774431,0.0028808079704469173
S12000035,Argyll and Bute,Female,58.9,61.806645919484225,-2.9066459194842267,0.0704026280719351,0.014401936596488994
S12000035,Argyll and Bute,Male,58.8,61.50349052307014,-2.703490523070144,0.06857720121458934,0.012088523767021728
S12000036,City of Edinburgh,Female,63.9,65.02327552189645,-1.1232755218964527,0.21213005122047376,0.009022008926192891
S12000036,City of Edinburgh,Male,63.2,64.43133944121854,-1.2313394412185374,0.2339458218297018,0.012647055970903428
S12000005,Clackmannanshire,Female,54.9,56.61957388443415,-1.7195738844341548,0.05258155894577215,0.0036243406423943024
S12000005,Clackmannanshire,Male,54.8,55.655843180569605,-0.8558431805696074,0.06328477703893329,0.0011053759830651755
S12000006,Dumfries and Galloway,Female,59.1,60.49684332465333,-1.3968433246533252,0.17024310517000243,0.010094869824611333
S12000006,Dumfries and Galloway,Male,58.8,60.14505768608185,-1.3450576860818515,0.16258633309421236,0.008776539375731808
S12000042,Dundee City,Female,55.7,54.67968888695133,1.0203111130486704,0.20814143198449309,0.007230462346673193
S12000042,Dundee City,Male,55.9,53.878917045076946,2.0210829549230525,0.1924447269491822,0.025221291249604684
S12000008,East Ayrshire,Female,53.5,55.119387237612365,-1.619387237612365,0.06500604613954919,0.004080140408125289
S12000008,East Ayrshire,Male,54.2,54.511156294479264,-0.31115629447926096,0.06734333377047527,0.0001568359913826302
S12000045,East Dunbartonshire,Female,64.6,64.97294416828352,-0.3729441682835244,0.11426070491274262,0.0004238481118700369
S12000045,East Dunbartonshire,Male,63.9,64.57412496371433,-0.674124963714327,0.11049639226368392,0.0013279172965090335
S12000010,East Lothian,Female,60.4,63.75914817810525,-3.359148178105251,0.06357205332151832,0.017116437052260774
S12000010,East Lothian,Male,60.2,63.30995071457822,-3.1099507145782184,0.06301400600413957,0.01452497662134753
S12000011,East Renfrewshire,Female,68.7,64.81488937947533,3.885110620524671,0.13079123428688122,0.05467323334841607
S12000011,East Renfrewshire,Male,67.9,64.81083767779546,3.089162322204544,0.11414604819133212,0.029043946117801582
S12000014,Falkirk,Female,59.2,59.77839704594952,-0.5783970459495151,0.06382257988085972,0.0005097388104340155
S12000014,Falkirk,Male,58.8,59.535726389916576,-0.7357263899165787,0.06538473966457475,0.0008477755135656922
S12000047,Fife,Female,59.0,58.69844055175606,0.30155944824394254,0.053528806533120935,0.00011369887746512592
S12000047,Fife,Male,58.9,58.34546844193706,0.5545315580629406,0.06367585266502304,0.00046731787388609226
S12000049,Glasgow City,Female,56.1,53.3036016804228,2.7963983195772,0.2683027848565513,0.0819970028691409
S12000049,Glasgow City,Male,55.7,52.711463746023014,2.9885362539769886,0.3518726928324284,0.1565379058963115
S12000017,Highland,Female,62.0,62.115418155546806,-0.11541815554680568,0.04203270463382312,1.2766497582547894e-05
S12000017,Highland,Male,61.0,61.88381749668507,-0.8838174966850687,0.048855832348908695,0.0008826457723501219
S12000018,Inverclyde,Female,53.6,51.45647278864772,2.1435272113522785,0.14608552803509992,0.019260785124215696
S12000018,Inverclyde,Male,54.1,50.76067116052614,3.3393288394738647,0.18300786062662133,0.06397199604130203
S12000019,Midlothian,Female,60.9,62.717330283677704,-1.8173302836777054,0.08382644993376515,0.006901298934446452
S12000019,Midlothian,Male,60.3,62.309773388116,-2.0097733881160025,0.079769001032699,0.007961083068537583
S12000020,Moray,Female,62.5,63.01811621549107,-0.5181162154910695,0.11926723320243773,0.000863624079257764
S12000020,Moray,Male,61.3,63.023360224537356,-1.723360224537359,0.10078983980491303,0.007746116274062814
S12000013,Na h-Eileanan Siar,Female,64.5,64.62174009339007,-0.12174009339007341,0.08167941061943215,3.0035077057125898e-05
S12000013,Na h-Eileanan Siar,Male,63.4,64.10991195902571,-0.7099119590257104,0.12309985788305472,0.0016881218548739894
S12000021,North Ayrshire,Female,53.5,52.54827628802232,0.951723711977678,0.13563143833344965,0.0034405015593568194
S12000021,North Ayrshire,Male,53.3,51.98972522035102,1.310274779648978,0.14291287658253776,0.006988495996256373
S12000050,North Lanarkshire,Female,52.3,54.95703921913596,-2.65703921913596,0.09951162430161081,0.01812804874216287
