hle_category,mean_predicted_probability,observed_class_proportion
Low HLE,0.004407835515821205,0.0
Low HLE,0.020863633084829546,0.0
Low HLE,0.06472679014887593,0.08333333333333333
Low HLE,0.6251083098549313,0.6153846153846154
Low HLE,0.9519790603829701,1.0
Middle HLE,0.04525379401120798,0.0
Middle HLE,0.14621941873163913,0.3076923076923077
Middle HLE,0.25127335479942764,0.08333333333333333
Middle HLE,0.5200896532990192,0.6923076923076923
Middle HLE,0.7474546324885925,0.5384615384615384
High HLE,0.002273749246204697,0.0
High HLE,0.06055068489723206,0.07692307692307693
High HLE,0.18935203168482914,0.25
High HLE,0.5335778667866604,0.5384615384615384
High HLE,0.7988193525010762,0.7692307692307693
