model,row_index,council_area_code,council_area,sex,observed_class_code,observed_category,predicted_class_code,predicted_category,probability_low_hle,probability_middle_hle,probability_high_hle,fold,healthy_life_expectancy_years,predicted_hle,regression_category
Random Forest,0,S12000033,Aberdeen City,Female,1,Middle HLE,1,Middle HLE,0.04453794836080645,0.5640646687106707,0.39139738292852266,7,59.0,62.45779900793651,High HLE
Random Forest,1,S12000033,Aberdeen City,Male,1,Middle HLE,1,Middle HLE,0.027321197966209937,0.5913498536522339,0.38132894838155607,7,58.8,61.89417380952379,Middle HLE
Random Forest,2,S12000034,Aberdeenshire,Female,2,High HLE,2,High HLE,0.0018245341614906833,0.1745453130714456,0.8236301527670635,2,64.7,67.38897079309575,High HLE
Random Forest,3,S12000034,Aberdeenshire,Male,2,High HLE,2,High HLE,0.00200187969924812,0.22044583534080225,0.7775522849599493,2,64.1,67.16535611055605,High HLE
Random Forest,4,S12000041,Angus,Female,2,High HLE,1,Middle HLE,0.034325123092139614,0.7917300923556987,0.17394478455216122,1,62.9,60.485419678932224,Middle HLE
Random Forest,5,S12000041,Angus,Male,2,High HLE,1,Middle HLE,0.025577145729804664,0.7588463283994161,0.21557652587077847,1,62.2,60.909002927627945,Middle HLE
Random Forest,6,S12000035,Argyll and Bute,Female,1,Middle HLE,1,Middle HLE,0.04017200030219245,0.649288673790797,0.3105393259070108,4,58.9,61.52369962398717,Middle HLE
Random Forest,7,S12000035,Argyll and Bute,Male,1,Middle HLE,1,Middle HLE,0.036460807491734935,0.629578727315891,0.3339604651923741,4,58.8,61.182173361360874,Middle HLE
Random Forest,8,S12000036,City of Edinburgh,Female,2,High HLE,1,Middle HLE,0.060471183066653486,0.7722711634893972,0.16725765344394908,6,63.9,61.949361489899005,Middle HLE
Random Forest,9,S12000036,City of Edinburgh,Male,2,High HLE,1,Middle HLE,0.06212687867823145,0.7965397432305934,0.14133337809117474,6,63.2,60.49859327200581,Middle HLE
Random Forest,10,S12000005,Clackmannanshire,Female,0,Low HLE,0,Low HLE,0.9087554126423963,0.08832792069093698,0.002916666666666667,6,54.9,55.04550000000001,Low HLE
