council_area,sex,observed_hle,model_prediction,SHAP: Female sex,SHAP: Most deprived data zones (%),SHAP: Employment rate (%),SHAP: Inactive due to long-term sickness (%),SHAP: Degree-level qualification or above (%),SHAP: Ethnic diversity index,SHAP: Part-time among employed (%),SHAP: Self-employed among employed (%)
Aberdeen City,Female,59.0,61.10844333794639,0.0,0.7110535997183556,0.0,1.4718844547125167,0.0,0.0,0.0,0.0
Aberdeen City,Male,58.8,60.27185538029494,0.0,0.7110535997183556,0.0,0.6352964970610641,0.0,0.0,0.0,0.0
Aberdeenshire,Female,64.7,65.05423360784702,0.0,3.508280638046491,0.0,2.6204476862850195,0.0,0.0,0.0,0.0
Aberdeenshire,Male,64.1,65.05423360784702,0.0,3.508280638046491,0.0,2.6204476862850195,0.0,0.0,0.0,0.0
Angus,Female,62.9,61.01240303221384,0.0,1.4516012516372574,0.0,0.6352964970610641,0.0,0.0,0.0,0.0
Angus,Male,62.2,61.01240303221384,0.0,1.4516012516372574,0.0,0.6352964970610641,0.0,0.0,0.0,0.0
Argyll and Bute,Female,58.9,60.27185538029494,0.0,0.7110535997183556,0.0,0.6352964970610641,0.0,0.0,0.0,0.0
Argyll and Bute,Male,58.8,60.27185538029494,0.0,0.7110535997183556,0.0,0.6352964970610641,0.0,0.0,0.0,0.0
City of Edinburgh,Female,63.9,63.189778285852015,0.0,0.7110535997183556,0.0,2.6204476862850137,0.932771716333131,0.0,0.0,0.0
City of Edinburgh,Male,63.2,62.04121505427952,0.0,0.7110535997183556,0.0,1.4718844547125167,0.932771716333131,0.0,0.0,0.0
Clackmannanshire,Female,54.9,55.368301736703245,0.0,-2.779779342114492,0.0,-0.2341877821288276,-0.5432364225689611,0.0,0.0,0.0
Clackmannanshire,Male,54.8,55.368301736703245,0.0,-2.779779342114492,0.0,-0.2341877821288276,-0.5432364225689611,0.0,0.0,0.0
Dumfries and Galloway,Female,59.1,59.093322460664915,0.0,0.7110535997183556,0.0,0.0,-0.5432364225689611,0.0,0.0,0.0
Dumfries and Galloway,Male,58.8,59.093322460664915,0.0,0.7110535997183556,0.0,0.0,-0.5432364225689611,0.0,0.0,0.0
Dundee City,Female,55.7,55.911538159272204,0.0,-2.779779342114492,0.0,-0.2341877821288276,0.0,0.0,0.0,0.0
Dundee City,Male,55.9,56.14572594140103,0.0,-2.779779342114492,0.0,0.0,0.0,0.0,0.0,0.0
East Ayrshire,Female,53.5,54.277312695867195,0.0,-2.779779342114492,0.0,-0.2341877821288276,-1.6342254634050128,0.0,0.0,0.0
East Ayrshire,Male,54.2,54.277312695867195,0.0,-2.779779342114492,0.0,-0.2341877821288276,-1.6342254634050128,0.0,0.0,0.0
East Dunbartonshire,Female,64.6,63.905670376274514,0.0,3.5082806380464775,0.0,1.4718844547125167,0.0,0.0,0.0,0.0
East Dunbartonshire,Male,63.9,65.05423360784702,0.0,3.508280638046491,0.0,2.6204476862850195,0.0,0.0,0.0,0.0
East Lothian,Female,60.4,61.01240303221384,0.0,1.4516012516372574,0.0,0.6352964970610641,0.0,0.0,0.0,0.0
East Lothian,Male,60.2,61.84899098986529,0.0,1.4516012516372574,0.0,1.4718844547125167,0.0,0.0,0.0,0.0
East Renfrewshire,Female,68.7,65.98700532418016,0.0,3.5082806380464917,0.0,2.6204476862850226,0.9327717163331333,0.0,0.0,0.0
East Renfrewshire,Male,67.9,65.98700532418016,0.0,3.5082806380464917,0.0,2.6204476862850226,0.9327717163331333,0.0,0.0,0.0
Falkirk,Female,59.2,58.38226886094656,0.0,0.0,0.0,0.0,-0.5432364225689611,0.0,0.0,0.0
Falkirk,Male,58.8,58.38226886094656,0.0,0.0,0.0,0.0,-0.5432364225689611,0.0,0.0,0.0
Fife,Female,59.0,58.53767865418625,0.0,-0.3878266293292681,0.0,0.0,0.0,0.0,0.0,0.0
Fife,Male,58.9,58.53767865418625,0.0,-0.3878266293292681,0.0,0.0,0.0,0.0,0.0,0.0
Glasgow City,Female,56.1,55.911538159272204,0.0,-2.779779342114492,0.0,-0.2341877821288276,0.0,0.0,0.0,0.0
Glasgow City,Male,55.7,55.911538159272204,0.0,-2.779779342114492,0.0,-0.2341877821288276,0.0,0.0,0.0,0.0
Highland,Female,62.0,60.27185538029494,0.0,0.7110535997183556,0.0,0.6352964970610641,0.0,0.0,0.0,0.0
Highland,Male,61.0,60.27185538029494,0.0,0.7110535997183556,0.0,0.6352964970610641,0.0,0.0,0.0,0.0
