omitted_council_code,omitted_council,deprivation_estimate_years_per_sd,full_sample_estimate_years_per_sd,difference_from_full_estimate
S12000042,Dundee City,-3.8001217099449756,-3.2269855550226456,-0.5731361549223299
S12000006,Dumfries and Galloway,-3.733371724145636,-3.2269855550226456,-0.5063861691229903
S12000027,Shetland Islands,-3.5727382531401197,-3.2269855550226456,-0.3457526981174741
S12000021,North Ayrshire,-3.5234598227372276,-3.2269855550226456,-0.29647426771458196
S12000033,Aberdeen City,-3.3467117930587014,-3.2269855550226456,-0.11972623803605575
S12000048,Perth and Kinross,-3.3424934473930525,-3.2269855550226456,-0.11550789237040693
S12000013,Na h-Eileanan Siar,-3.3412330999841675,-3.2269855550226456,-0.1142475449615219
S12000040,West Lothian,-3.331655829544877,-3.2269855550226456,-0.10467027452223121
S12000011,East Renfrewshire,-3.324217916248619,-3.2269855550226456,-0.09723236122597356
S12000020,Moray,-3.3066032239509706,-3.2269855550226456,-0.079617668928325
S12000018,Inverclyde,-3.289766114089943,-3.2269855550226456,-0.0627805590672974
S12000035,Argyll and Bute,-3.2782857926343585,-3.2269855550226456,-0.05130023761171287
S12000028,South Ayrshire,-3.2766799660990564,-3.2269855550226456,-0.049694411076410816
S12000045,East Dunbartonshire,-3.247200115794561,-3.2269855550226456,-0.020214560771915302
S12000019,Midlothian,-3.245835979219727,-3.2269855550226456,-0.018850424197081495
S12000047,Fife,-3.244481110462729,-3.2269855550226456,-0.01749555544008352
S12000014,Falkirk,-3.239066206822681,-3.2269855550226456,-0.012080651800035369
S12000005,Clackmannanshire,-3.2375694262135557,-3.2269855550226456,-0.010583871190910088
S12000039,West Dunbartonshire,-3.2333865139873694,-3.2269855550226456,-0.006400958964723813
S12000029,South Lanarkshire,-3.226682200209895,-3.2269855550226456,0.00030335481275045595
S12000026,Scottish Borders,-3.2247474793306843,-3.2269855550226456,0.0022380756919613276
S12000017,Highland,-3.2015707637201256,-3.2269855550226456,0.02541479130252
S12000034,Aberdeenshire,-3.194665462391388,-3.2269855550226456,0.03232009263125768
S12000010,East Lothian,-3.184835553857128,-3.2269855550226456,0.042150001165517814
S12000036,City of Edinburgh,-3.1546378700245157,-3.2269855550226456,0.07234768499812994
S12000008,East Ayrshire,-3.153318768254021,-3.2269855550226456,0.0736667867686247
S12000041,Angus,-3.1356643799388326,-3.2269855550226456,0.09132117508381299
S12000050,North Lanarkshire,-3.0750397158704477,-3.2269855550226456,0.15194583915219795
S12000038,Renfrewshire,-3.0721372862074725,-3.2269855550226456,0.1548482688151731
S12000030,Stirling,-2.9794504042124688,-3.2269855550226456,0.24753515081017685
S12000023,Orkney Islands,-2.524661365569999,-3.2269855550226456,0.7023241894526464
S12000049,Glasgow City,-1.9423539088792854,-3.2269855550226456,1.2846316461433602
